"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","Thêm thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng thêm mới một thiết bị vào hệ thống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC002","Thêm thiết bị","Kiểm tra quy tắc nghiệp vụ của Thêm thiết bị","DATA_INTEGRITY","HIGH","HIGH","true","Mã thiết bị phải là duy nhất. | Loại thiết bị phải tồn tại trong danh mục loại thiết bị. | Người dùng phải có quyền thêm thiết bị. | Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ. | BR01: Mã thiết bị phải là duy nhất. | BR02: Loại thiết bị phải tồn tại trong danh mục loại thiết bị. | BR03: Người dùng phải có quyền thêm thiết bị. | BR04: Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC003","Thêm thiết bị","Kiểm tra dữ liệu không hợp lệ của Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Mã thiết bị phải là duy nhất. | Loại thiết bị phải tồn tại trong danh mục loại thiết bị. | Người dùng phải có quyền thêm thiết bị. | Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ. | Mã thiết bị không được để trống | Tên thiết bị không được để trống | Loại thiết bị không được để trống | Mã thiết bị là bắt buộc. | Tên thiết bị là bắt buộc. | Loại thiết bị là bắt buộc. | Trạng thái là không bắt buộc, nếu không chọn hệ thống sử dụng giá trị mặc định. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC004","Thêm thiết bị","Kiểm tra quyền thực hiện Thêm thiết bị","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền thêm thiết bị. | Kiểm tra Người dùng phải có quyền thêm thiết bị. | Kiểm tra quyền thêm dữ liệu | Người dùng có quyền thêm thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC005","Thêm thiết bị","Kiểm tra điều kiện biên của Thêm thiết bị","BOUNDARY","MEDIUM","MEDIUM","true","Mã thiết bị không có giới hạn độ dài nhưng phải duy nhất (CL002). | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC006","Thêm thiết bị","Kiểm tra ngoại lệ của Thêm thiết bị","EXCEPTION","HIGH","HIGH","true","Người dùng không có quyền thêm thiết bị. | Mã thiết bị đã tồn tại. | Trường bắt buộc bị bỏ trống. | Loại thiết bị không hợp lệ. | Dữ liệu vượt quá độ dài cho phép. | Hệ thống xảy ra lỗi trong quá trình lưu. | EX01: Người dùng không có quyền thêm thiết bị. | EX02: Mã thiết bị đã tồn tại. | EX03: Trường bắt buộc bị bỏ trống. | EX04: Loại thiết bị không hợp lệ. | EX05: Dữ liệu vượt quá độ dài cho phép. | EX06: Hệ thống xảy ra lỗi trong quá trình lưu. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC007","Thêm thiết bị","Kiểm tra rủi ro của Thêm thiết bị","RISK","HIGH","HIGH","true","Người dùng phải có quyền thêm thiết bị. | Xung đột dữ liệu khi nhiều người dùng cùng thêm mới mã thiết bị cùng lúc. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC008","Sửa thiết bị","Sửa thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng cập nhật thông tin của một thiết bị đã tồn tại. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC009","Sửa thiết bị","Kiểm tra quy tắc nghiệp vụ của Sửa thiết bị","DATA_INTEGRITY","HIGH","HIGH","true","Thiết bị cần sửa phải tồn tại. | Mã thiết bị sau khi sửa không được trùng với thiết bị khác. | Người dùng phải có quyền sửa thiết bị. | Dữ liệu cũ chỉ được thay đổi khi dữ liệu mới hợp lệ. | Hệ thống phải ghi nhận thông tin cập nhật theo cơ chế audit nếu có. | BR05: Thiết bị cần sửa phải tồn tại. | BR06: Mã thiết bị sau khi sửa không được trùng với thiết bị khác. | BR07: Người dùng phải có quyền sửa thiết bị. | BR08: Dữ liệu cũ chỉ được thay đổi khi dữ liệu mới hợp lệ. | BR09: Hệ thống phải ghi nhận thông tin cập nhật theo cơ chế audit nếu có. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC010","Sửa thiết bị","Kiểm tra quyền thực hiện Sửa thiết bị","PERMISSION","HIGH","HIGH","true","Thiết bị cần sửa phải tồn tại. | Mã thiết bị sau khi sửa không được trùng với thiết bị khác. | Người dùng phải có quyền sửa thiết bị. | Dữ liệu cũ chỉ được thay đổi khi dữ liệu mới hợp lệ. | Hệ thống phải ghi nhận thông tin cập nhật theo cơ chế audit nếu có. | Thiết bị cần sửa không được để trống | Mã thiết bị không được để trống | Tên thiết bị không được để trống | Loại thiết bị không được để trống | Mã thiết bị là bắt buộc. | Tên thiết bị là bắt buộc. | Loại thiết bị là bắt buộc. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
