"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","Thiết bị với dữ liệu hợp lệ","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC002","Thêm thiết bị","Hiển thị thông báo ""Thêm thiết bị thành công"".","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC003","Thêm thiết bị","Thiết bị mới hiển thị trong danh sách.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC004","Thêm thiết bị","Hiển thị thông báo cập nhật thành công.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC005","Thêm thiết bị","Thông tin thiết bị được cập nhật trong danh sách.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC006","Thêm thiết bị","Thiết bị được xóa khỏi danh sách","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC007","Thêm thiết bị","Hiển thị danh sách thiết bị phù hợp.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC008","Thêm thiết bị","Không hiển thị dữ liệu không liên quan.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC009","Thêm thiết bị","Mã thiết bị không được trùng.","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC010","Thêm thiết bị","Không được bỏ trống các trường bắt buộc.","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC011","Thêm thiết bị","Không được xóa thiết bị đã sử dụng trong Phiếu Nhập","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC012","Thêm thiết bị","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
