"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","Thêm thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng thêm mới một thiết bị vào hệ thống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC002","Thêm thiết bị","Kiểm tra quy tắc nghiệp vụ của Thêm thiết bị","DATA_INTEGRITY","HIGH","HIGH","true","Mã thiết bị phải là duy nhất. | Loại thiết bị phải tồn tại trong danh mục loại thiết bị. | Người dùng phải có quyền thêm thiết bị. | Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC003","Thêm thiết bị","Kiểm tra dữ liệu không hợp lệ của Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Mã thiết bị phải là duy nhất. | Loại thiết bị phải tồn tại trong danh mục loại thiết bị. | Người dùng phải có quyền thêm thiết bị. | Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ. | Mã thiết bị không được để trống | Tên thiết bị không được để trống | Loại thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC004","Thêm thiết bị","Kiểm tra quyền thực hiện Thêm thiết bị","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền thêm thiết bị. | Kiểm tra Người dùng phải có quyền thêm thiết bị. | Kiểm tra quyền thêm dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC005","Thêm thiết bị","Kiểm tra ngoại lệ của Thêm thiết bị","EXCEPTION","HIGH","HIGH","true","Người dùng không có quyền thêm thiết bị. | Mã thiết bị đã tồn tại. | Trường bắt buộc bị bỏ trống. | Loại thiết bị không hợp lệ. | Dữ liệu vượt quá độ dài cho phép. | Hệ thống xảy ra lỗi trong quá trình lưu. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC006","Thêm thiết bị","Kiểm tra rủi ro của Thêm thiết bị","RISK","HIGH","HIGH","true","Người dùng phải có quyền thêm thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC007","Sửa thiết bị","Sửa thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng cập nhật thông tin của một thiết bị đã tồn tại. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC008","Sửa thiết bị","Kiểm tra quy tắc nghiệp vụ của Sửa thiết bị","DATA_INTEGRITY","HIGH","HIGH","true","Thiết bị cần sửa phải tồn tại. | Mã thiết bị sau khi sửa không được trùng với thiết bị khác. | Người dùng phải có quyền sửa thiết bị. | Dữ liệu cũ chỉ được thay đổi khi dữ liệu mới hợp lệ. | Hệ thống phải ghi nhận thông tin cập nhật theo cơ chế audit nếu có. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC009","Sửa thiết bị","Kiểm tra dữ liệu không hợp lệ của Sửa thiết bị","NEGATIVE","HIGH","HIGH","true","Thiết bị cần sửa phải tồn tại. | Mã thiết bị sau khi sửa không được trùng với thiết bị khác. | Người dùng phải có quyền sửa thiết bị. | Dữ liệu cũ chỉ được thay đổi khi dữ liệu mới hợp lệ. | Hệ thống phải ghi nhận thông tin cập nhật theo cơ chế audit nếu có. | Thiết bị cần sửa không được để trống | Mã thiết bị không được để trống | Tên thiết bị không được để trống | Loại thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"TC010","Sửa thiết bị","Kiểm tra quyền thực hiện Sửa thiết bị","PERMISSION","HIGH","HIGH","true","Kiểm tra Người dùng có quyền sửa thiết bị. | Kiểm tra Người dùng phải có quyền sửa thiết bị. | Kiểm tra quyền chỉnh sửa dữ liệu | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
