"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","TestCase đã chỉnh sửa khi review","POSITIVE","MEDIUM","MEDIUM","true","Kết quả đã duyệt"
"TC003","Thêm thiết bị","Để trống Tên thiết bị khi thực hiện Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Thêm thiết bị và đánh dấu trường Tên thiết bị là không hợp lệ."
"TC004","Thêm thiết bị","Để trống Loại thiết bị khi thực hiện Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Thêm thiết bị và đánh dấu trường Loại thiết bị là không hợp lệ."
"TC005","Thêm thiết bị","Mã thiết bị phải là duy nhất.","NEGATIVE","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Mã thiết bị phải là duy nhất."
"TC006","Thêm thiết bị","Loại thiết bị phải tồn tại trong danh mục loại thiết bị.","NEGATIVE","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Loại thiết bị phải tồn tại trong danh mục loại thiết bị."
"TC007","Thêm thiết bị","Người dùng phải có quyền thêm thiết bị.","NEGATIVE","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Người dùng phải có quyền thêm thiết bị."
"TC008","Thêm thiết bị","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ."
"TC009","Thêm thiết bị","Kiểm tra Người dùng có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","true","Hệ thống từ chối thao tác khi điều kiện quyền không được đáp ứng: Kiểm tra Người dùng có quyền thêm thiết bị."
"TC010","Thêm thiết bị","Kiểm tra Người dùng phải có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","true","Hệ thống từ chối thao tác khi điều kiện quyền không được đáp ứng: Kiểm tra Người dùng phải có quyền thêm thiết bị."
"TC011","Thêm thiết bị","Kiểm tra quyền thêm dữ liệu","PERMISSION","HIGH","HIGH","true","Hệ thống từ chối thao tác khi điều kiện quyền không được đáp ứng: Kiểm tra quyền thêm dữ liệu"
"TC012","Thêm thiết bị","Người dùng không có quyền thêm thiết bị.","EXCEPTION","HIGH","HIGH","true","Hệ thống từ chối thao tác khi điều kiện quyền không được đáp ứng: Người dùng không có quyền thêm thiết bị."
"TC013","Thêm thiết bị","Mã thiết bị đã tồn tại.","EXCEPTION","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Mã thiết bị đã tồn tại."
"TC014","Thêm thiết bị","Trường bắt buộc bị bỏ trống.","EXCEPTION","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Trường bắt buộc bị bỏ trống."
"TC015","Thêm thiết bị","Loại thiết bị không hợp lệ.","EXCEPTION","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Loại thiết bị không hợp lệ."
"TC016","Thêm thiết bị","Dữ liệu vượt quá độ dài cho phép.","EXCEPTION","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Dữ liệu vượt quá độ dài cho phép."
"TC017","Thêm thiết bị","Hệ thống xảy ra lỗi trong quá trình lưu.","EXCEPTION","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Hệ thống xảy ra lỗi trong quá trình lưu."
"TC018","Thêm thiết bị","Người dùng phải có quyền thêm thiết bị.","RISK","HIGH","HIGH","true","Hệ thống thực thi đúng quy tắc nghiệp vụ: Người dùng phải có quyền thêm thiết bị."
"TC019","Ngừng sử dụng thiết bị","Ngừng sử dụng thiết bị","POSITIVE","MEDIUM","MEDIUM","true","Cho phép người dùng xóa một thiết bị khỏi hệ thống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
