"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","Thêm thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC002","Sửa thiết bị","Sửa thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC003","Xóa thiết bị","Xóa thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC004","Tìm kiếm thiết bị","Tìm kiếm thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Hệ thống thực hiện thành công thao tác | Dữ liệu được cập nhật và hiển thị đúng"
"TC005","Chức năng chưa xác định","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC006","Sửa thiết bị","Mã thiết bị sau khi sửa không được trùng với thiết bị khác.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC007","Xóa thiết bị","Không được xóa thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC008","Xóa thiết bị","Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC009","Chức năng chưa xác định","Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC010","Chức năng chưa xác định","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC011","Chức năng chưa xác định","Tên thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC012","Chức năng chưa xác định","Loại thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC013","Sửa thiết bị","Thiết bị cần sửa không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC014","Xóa thiết bị","Thiết bị cần xóa không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC015","Xóa thiết bị","Xác nhận xóa không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC016","Chức năng chưa xác định","Mã thiết bị bị trùng","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC017","Thêm thiết bị","Người dùng không có quyền thêm thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC018","Chức năng chưa xác định","Mã thiết bị đã tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC019","Chức năng chưa xác định","Trường bắt buộc bị bỏ trống.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC020","Chức năng chưa xác định","Loại thiết bị không hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC021","Chức năng chưa xác định","Dữ liệu vượt quá độ dài cho phép.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC022","Chức năng chưa xác định","Hệ thống xảy ra lỗi trong quá trình lưu.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC023","Sửa thiết bị","Người dùng không có quyền sửa thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC024","Chức năng chưa xác định","Thiết bị không còn tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC025","Chức năng chưa xác định","Thiết bị đã bị người dùng khác thay đổi.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC026","Sửa thiết bị","Dữ liệu cập nhật không hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC027","Xóa thiết bị","Người dùng không có quyền xóa thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC028","Chức năng chưa xác định","Thiết bị không tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC029","Xóa thiết bị","Thiết bị đã bị người dùng khác xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC030","Chức năng chưa xác định","Thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC031","Chức năng chưa xác định","Thiết bị có dữ liệu liên quan.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC032","Xóa thiết bị","Người dùng hủy xác nhận xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC033","Xóa thiết bị","Hệ thống xảy ra lỗi trong quá trình xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC034","Chức năng chưa xác định","Người dùng không có quyền xem thiết bị.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC035","Tìm kiếm thiết bị","Điều kiện tìm kiếm không hợp lệ.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC036","Tìm kiếm thiết bị","Không tìm thấy dữ liệu phù hợp.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC037","Chức năng chưa xác định","Ký tự đặc biệt gây lỗi xử lý.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC038","Chức năng chưa xác định","Hệ thống xảy ra lỗi trong quá trình truy vấn.","NEGATIVE","HIGH","HIGH","","Hệ thống không chấp nhận dữ liệu hoặc thao tác không hợp lệ | Hiển thị thông báo phù hợp với điều kiện kiểm tra"
"TC039","Chức năng chưa xác định","Mã thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC040","Chức năng chưa xác định","Tên thiết bị cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC041","Chức năng chưa xác định","Ghi chú cần kiểm tra dữ liệu nhập nguy hiểm","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC042","Thêm thiết bị","dữ liệu đầu vào trước khi tạo mới","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC043","Sửa thiết bị","quyền chỉnh sửa dữ liệu","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC044","Xóa thiết bị","quyền xóa dữ liệu","SECURITY","HIGH","HIGH","","Hệ thống ngăn chặn dữ liệu hoặc thao tác không an toàn | Dữ liệu và quyền truy cập được bảo vệ"
"TC045","Chức năng chưa xác định","Người dùng đã đăng nhập vào hệ thống.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC046","Chức năng chưa xác định","Người dùng có quyền truy cập màn hình quản lý thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC047","Chức năng chưa xác định","Người dùng có quyền thực hiện chức năng tương ứng.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC048","Thêm thiết bị","Người dùng có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC049","Sửa thiết bị","Người dùng có quyền sửa thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC050","Xóa thiết bị","Người dùng có quyền xóa thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC051","Chức năng chưa xác định","Người dùng có quyền xem danh sách thiết bị.","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC052","Chức năng chưa xác định","người dùng có quyền truy cập chức năng quản lý","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC053","Chức năng chưa xác định","Người dùng không có quyền không được thao tác chức năng quản lý","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC054","Thêm thiết bị","quyền thêm dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC055","Sửa thiết bị","quyền chỉnh sửa dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC056","Xóa thiết bị","quyền xóa dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC057","Chức năng chưa xác định","quyền xem dữ liệu","PERMISSION","HIGH","HIGH","","Hệ thống từ chối thao tác khi người dùng không có quyền | Hiển thị thông báo không có quyền phù hợp"
"TC058","Chức năng chưa xác định","Mã thiết bị bị trùng","DATA_INTEGRITY","HIGH","HIGH","","Hệ thống bảo toàn tính toàn vẹn dữ liệu | Không tạo dữ liệu trùng hoặc dữ liệu không hợp lệ"
