"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"SC001","Thêm thiết bị","Thêm thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Thiết bị được tạo thành công. | Dữ liệu được lưu chính xác. | Hệ thống hiển thị thông báo thành công. | Thiết bị mới xuất hiện trong danh sách thiết bị. | Thiết bị được tạo thành công; Dữ liệu được lưu chính xác; Hệ thống hiển thị thông báo thành công; Thiết bị mới xuất hiện trong danh sách thiết bị."
"SC002","Sửa thiết bị","Sửa thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Thông tin thiết bị được cập nhật thành công. | Dữ liệu mới được lưu chính xác. | Hệ thống hiển thị thông báo cập nhật thành công. | Danh sách thiết bị hiển thị thông tin mới. | Thông tin thiết bị được cập nhật thành công; Dữ liệu mới được lưu chính xác; Hệ thống hiển thị thông báo cập nhật thành công; Danh sách thiết bị hiển thị thông tin mới."
"SC003","Xóa thiết bị","Xóa thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Thiết bị được xóa thành công. | Hệ thống hiển thị thông báo thành công. | Thiết bị không còn xuất hiện trong danh sách hoạt động. | Các dữ liệu không liên quan không bị ảnh hưởng. | Thiết bị được xóa thành công; Hệ thống hiển thị thông báo thành công; Thiết bị không còn xuất hiện trong danh sách hoạt động; Các dữ liệu không liên quan không bị ảnh hưởng."
"SC004","Tìm kiếm thiết bị","Tìm kiếm thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Hệ thống hiển thị đúng các thiết bị phù hợp. | Không hiển thị thiết bị không thỏa mãn điều kiện. | Hiển thị thông báo phù hợp khi không có kết quả. | Kết quả tìm kiếm được phân trang đúng nếu có. | Dữ liệu hiển thị đúng và đầy đủ. | Hệ thống hiển thị đúng các thiết bị phù hợp; Không hiển thị thiết bị không thỏa mãn điều kiện; Hiển thị thông báo phù hợp khi không có kết quả; Kết quả tìm kiếm được phân trang đúng nếu có; Dữ liệu hiển thị đúng và đầy đủ."
"SC005","Thêm thiết bị","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC006","Sửa thiết bị","Mã thiết bị sau khi sửa không được trùng với thiết bị khác.","NEGATIVE","HIGH","HIGH","","Mã thiết bị sau khi sửa không được trùng với thiết bị khác. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC007","Xóa thiết bị","Không được xóa thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","","Không được xóa thiết bị đang được sử dụng. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC008","Xóa thiết bị","Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép.","NEGATIVE","HIGH","HIGH","","Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC009","Tìm kiếm thiết bị","Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện.","NEGATIVE","HIGH","HIGH","","Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC010","Thêm thiết bị","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Mã thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC011","Thêm thiết bị","Tên thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Tên thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC012","Thêm thiết bị","Loại thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Loại thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC013","Sửa thiết bị","Thiết bị cần sửa không được để trống","NEGATIVE","HIGH","HIGH","","Thiết bị cần sửa không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC014","Sửa thiết bị","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Mã thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC015","Sửa thiết bị","Tên thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Tên thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC016","Sửa thiết bị","Loại thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Loại thiết bị không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC017","Xóa thiết bị","Thiết bị cần xóa không được để trống","NEGATIVE","HIGH","HIGH","","Thiết bị cần xóa không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC018","Xóa thiết bị","Xác nhận xóa không được để trống","NEGATIVE","HIGH","HIGH","","Xác nhận xóa không được để trống | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC019","Thêm thiết bị","Người dùng không có quyền thêm thiết bị.","NEGATIVE","HIGH","HIGH","","Người dùng không có quyền thêm thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC020","Thêm thiết bị","Mã thiết bị đã tồn tại.","NEGATIVE","HIGH","HIGH","","Mã thiết bị đã tồn tại. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC021","Thêm thiết bị","Trường bắt buộc bị bỏ trống.","NEGATIVE","HIGH","HIGH","","Trường bắt buộc bị bỏ trống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC022","Thêm thiết bị","Loại thiết bị không hợp lệ.","NEGATIVE","HIGH","HIGH","","Loại thiết bị không hợp lệ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC023","Thêm thiết bị","Dữ liệu vượt quá độ dài cho phép.","NEGATIVE","HIGH","HIGH","","Dữ liệu vượt quá độ dài cho phép. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC024","Thêm thiết bị","Hệ thống xảy ra lỗi trong quá trình lưu.","NEGATIVE","HIGH","HIGH","","Hệ thống xảy ra lỗi trong quá trình lưu. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC025","Sửa thiết bị","Người dùng không có quyền sửa thiết bị.","NEGATIVE","HIGH","HIGH","","Người dùng không có quyền sửa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC026","Sửa thiết bị","Thiết bị không còn tồn tại.","NEGATIVE","HIGH","HIGH","","Thiết bị không còn tồn tại. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC027","Sửa thiết bị","Thiết bị đã bị người dùng khác thay đổi.","NEGATIVE","HIGH","HIGH","","Thiết bị đã bị người dùng khác thay đổi. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC028","Sửa thiết bị","Mã thiết bị bị trùng.","NEGATIVE","HIGH","HIGH","","Mã thiết bị bị trùng. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC029","Sửa thiết bị","Trường bắt buộc bị bỏ trống.","NEGATIVE","HIGH","HIGH","","Trường bắt buộc bị bỏ trống. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC030","Sửa thiết bị","Dữ liệu cập nhật không hợp lệ.","NEGATIVE","HIGH","HIGH","","Dữ liệu cập nhật không hợp lệ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC031","Sửa thiết bị","Hệ thống xảy ra lỗi trong quá trình lưu.","NEGATIVE","HIGH","HIGH","","Hệ thống xảy ra lỗi trong quá trình lưu. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC032","Xóa thiết bị","Người dùng không có quyền xóa thiết bị.","NEGATIVE","HIGH","HIGH","","Người dùng không có quyền xóa thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC033","Xóa thiết bị","Thiết bị không tồn tại.","NEGATIVE","HIGH","HIGH","","Thiết bị không tồn tại. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC034","Xóa thiết bị","Thiết bị đã bị người dùng khác xóa.","NEGATIVE","HIGH","HIGH","","Thiết bị đã bị người dùng khác xóa. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC035","Xóa thiết bị","Thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","","Thiết bị đang được sử dụng. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC036","Xóa thiết bị","Thiết bị có dữ liệu liên quan.","NEGATIVE","HIGH","HIGH","","Thiết bị có dữ liệu liên quan. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC037","Xóa thiết bị","Người dùng hủy xác nhận xóa.","NEGATIVE","HIGH","HIGH","","Người dùng hủy xác nhận xóa. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC038","Xóa thiết bị","Hệ thống xảy ra lỗi trong quá trình xóa.","NEGATIVE","HIGH","HIGH","","Hệ thống xảy ra lỗi trong quá trình xóa. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC039","Tìm kiếm thiết bị","Người dùng không có quyền xem thiết bị.","NEGATIVE","HIGH","HIGH","","Người dùng không có quyền xem thiết bị. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC040","Tìm kiếm thiết bị","Điều kiện tìm kiếm không hợp lệ.","NEGATIVE","HIGH","HIGH","","Điều kiện tìm kiếm không hợp lệ. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC041","Tìm kiếm thiết bị","Không tìm thấy dữ liệu phù hợp.","NEGATIVE","HIGH","HIGH","","Không tìm thấy dữ liệu phù hợp. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
"SC042","Tìm kiếm thiết bị","Ký tự đặc biệt gây lỗi xử lý.","NEGATIVE","HIGH","HIGH","","Ký tự đặc biệt gây lỗi xử lý. | Điều kiện trước được đáp ứng | Yêu cầu được gửi để hệ thống xử lý"
