"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Thêm thiết bị","TestCase đã chỉnh sửa khi review","POSITIVE","MEDIUM","MEDIUM","true","Kết quả đã duyệt"
"TC003","Thêm thiết bị","Để trống Tên thiết bị khi thực hiện Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Thêm thiết bị và đánh dấu trường Tên thiết bị là không hợp lệ; dữ liệu không thay đổi."
"TC004","Thêm thiết bị","Để trống Loại thiết bị khi thực hiện Thêm thiết bị","NEGATIVE","HIGH","HIGH","true","Hệ thống không thực hiện Thêm thiết bị và đánh dấu trường Loại thiết bị là không hợp lệ; dữ liệu không thay đổi."
"TC005","Thêm thiết bị","Mã thiết bị phải là duy nhất.","NEGATIVE","HIGH","HIGH","true","Hệ thống không tạo bản ghi mới bằng giá trị Mã thiết bị đã tồn tại; dữ liệu hiện có không thay đổi."
"TC006","Thêm thiết bị","Loại thiết bị phải tồn tại trong danh mục loại thiết bị.","NEGATIVE","HIGH","HIGH","true","Hệ thống không cho phép lưu với Loại thiết bị không thuộc danh sách hợp lệ; dữ liệu không thay đổi."
"TC007","Thêm thiết bị","Người dùng phải có quyền thêm thiết bị.","NEGATIVE","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Thêm thiết bị; dữ liệu không thay đổi."
"TC008","Thêm thiết bị","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","true","Chưa có đủ dữ liệu để tạo trạng thái kiểm thử cụ thể cho rule: Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ."
"TC009","Thêm thiết bị","Kiểm tra Người dùng có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Thêm thiết bị; dữ liệu không thay đổi."
"TC010","Thêm thiết bị","Kiểm tra Người dùng phải có quyền thêm thiết bị.","PERMISSION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Thêm thiết bị; dữ liệu không thay đổi."
"TC011","Thêm thiết bị","Kiểm tra quyền thêm dữ liệu","PERMISSION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Thêm thiết bị; dữ liệu không thay đổi."
"TC012","Thêm thiết bị","Người dùng không có quyền thêm thiết bị.","EXCEPTION","HIGH","HIGH","true","Hệ thống không cho phép thực hiện Thêm thiết bị; dữ liệu không thay đổi."
"TC013","Thêm thiết bị","Mã thiết bị đã tồn tại.","EXCEPTION","HIGH","HIGH","true","Hệ thống không tạo bản ghi mới bằng giá trị Mã thiết bị đã tồn tại; dữ liệu hiện có không thay đổi."
"TC014","Thêm thiết bị","Để trống Trường bắt buộc khi thực hiện Thêm thiết bị","EXCEPTION","HIGH","HIGH","true","Chưa xác định trường bắt buộc cụ thể; cần clarification trước khi tạo dữ liệu kiểm thử."
"TC015","Thêm thiết bị","Loại thiết bị không hợp lệ.","EXCEPTION","HIGH","HIGH","true","Hệ thống không cho phép lưu với Loại thiết bị không thuộc danh sách hợp lệ; dữ liệu không thay đổi."
"TC016","Thêm thiết bị","Dữ liệu vượt quá độ dài cho phép.","EXCEPTION","HIGH","HIGH","true","Chưa thể tạo giá trị biên cụ thể khi giới hạn chưa được xác định; cần clarification."
"TC017","Thêm thiết bị","Hệ thống xảy ra lỗi trong quá trình lưu.","EXCEPTION","HIGH","HIGH","true","Hệ thống không tạo dữ liệu không hoàn chỉnh và thể hiện thao tác không thành công."
