"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"SC001","Thêm thiết bị","Thêm thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Thiết bị được tạo thành công. | Dữ liệu được lưu chính xác. | Hệ thống hiển thị thông báo thành công. | Thiết bị mới xuất hiện trong danh sách thiết bị."
"SC002","Sửa thiết bị","Sửa thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Thông tin thiết bị được cập nhật thành công. | Dữ liệu mới được lưu chính xác. | Hệ thống hiển thị thông báo cập nhật thành công. | Danh sách thiết bị hiển thị thông tin mới."
"SC003","Xóa thiết bị","Xóa thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Thiết bị được xóa thành công. | Hệ thống hiển thị thông báo thành công. | Thiết bị không còn xuất hiện trong danh sách hoạt động. | Các dữ liệu không liên quan không bị ảnh hưởng."
"SC004","Tìm kiếm thiết bị","Tìm kiếm thiết bị thành công","POSITIVE","MEDIUM","MEDIUM","","Hệ thống hiển thị đúng các thiết bị phù hợp. | Không hiển thị thiết bị không thỏa mãn điều kiện. | Hiển thị thông báo phù hợp khi không có kết quả. | Kết quả tìm kiếm được phân trang đúng nếu có. | Dữ liệu hiển thị đúng và đầy đủ."
"SC005","Thêm thiết bị","Dữ liệu chỉ được lưu khi tất cả trường bắt buộc hợp lệ.","NEGATIVE","HIGH","HIGH","",""
"SC006","Sửa thiết bị","Mã thiết bị sau khi sửa không được trùng với thiết bị khác.","NEGATIVE","HIGH","HIGH","",""
"SC007","Xóa thiết bị","Không được xóa thiết bị đang được sử dụng.","NEGATIVE","HIGH","HIGH","",""
"SC008","Xóa thiết bị","Không được xóa thiết bị có dữ liệu liên quan nếu hệ thống không cho phép.","NEGATIVE","HIGH","HIGH","",""
"SC009","Tìm kiếm thiết bị","Khi không nhập điều kiện, hệ thống có thể hiển thị toàn bộ dữ liệu hoặc yêu cầu nhập điều kiện.","NEGATIVE","HIGH","HIGH","",""
"SC010","Thêm thiết bị","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","",""
"SC011","Thêm thiết bị","Tên thiết bị không được để trống","NEGATIVE","HIGH","HIGH","",""
