"ID","Feature","Title","Type","Severity","Priority","Automation","Expected Result"
"TC001","Chức năng chưa xác định","Thiết bị với dữ liệu hợp lệ","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC002","Chức năng chưa xác định","Hiển thị thông báo ""Thêm thiết bị thành công"".","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC003","Chức năng chưa xác định","Thiết bị mới hiển thị trong danh sách.","POSITIVE","MEDIUM","MEDIUM","","Hệ thống xử lý thành công yêu cầu | Dữ liệu được lưu và hiển thị đúng"
"TC004","Chức năng chưa xác định","Mã thiết bị không được trùng.","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC005","Chức năng chưa xác định","Không được bỏ trống các trường bắt buộc.","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC006","Chức năng chưa xác định","Mã thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC007","Chức năng chưa xác định","Tên thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC008","Chức năng chưa xác định","Loại thiết bị không được để trống","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC009","Chức năng chưa xác định","Mã thiết bị bị trùng","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC010","Chức năng chưa xác định","Mã thiết bị đã tồn tại.","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC011","Chức năng chưa xác định","Thiếu thông tin bắt buộc.","NEGATIVE","HIGH","HIGH","","Hệ thống không cho phép lưu dữ liệu | Hiển thị thông báo lỗi phù hợp"
"TC012","Chức năng chưa xác định","User không có quyền không được truy cập chức năng","PERMISSION","HIGH","HIGH","","Hệ thống từ chối truy cập | Hiển thị thông báo không có quyền"
"TC013","Chức năng chưa xác định","Mã thiết bị bị trùng","DATA_INTEGRITY","HIGH","HIGH","","Dữ liệu không được tạo trùng | Hệ thống bảo toàn dữ liệu"
